spec,n_obs,log_likelihood,aic,bic,pseudo_r2,base_category
spec_base_1,1074,-1055.0785395692835,2122.157079138567,2152.03195078898,0.0043921433518846476,Mixed Outcome
spec_base_2,1074,-1056.1291768977005,2124.258353795401,2154.133225445814,0.003400726372550844,Mixed Outcome
spec_base_3,1074,-1053.461998070683,2118.923996141366,2148.798867791779,0.0059175666793854775,Mixed Outcome
spec_extended_1,825,-764.7878942042992,1565.5757884085983,1650.4526893626226,0.09676741909840625,Mixed Outcome
spec_extended_1_spline,825,-752.2918082463777,1556.5836164927555,1679.1835845374571,0.11152559199376133,Mixed Outcome
spec_extended_1_spline_interact,825,-742.6982378479418,1553.3964756958835,1713.7195108312626,0.12285582540449791,Mixed Outcome
spec_extended_2,825,-765.345370075891,1566.690740151782,1651.5676411058062,0.09610902691659473,Mixed Outcome
spec_extended_2_spline,825,-752.3447750788641,1556.6895501577283,1679.28951820243,0.11146303691257942,Mixed Outcome
spec_extended_2_spline_interact,825,-742.9339891192622,1553.8679782385243,1714.1910133739034,0.12257739758044472,Mixed Outcome
spec_extended_3,825,-764.0126996945887,1564.0253993891774,1648.9023003432017,0.09768294213820938,Mixed Outcome
spec_extended_3_spline,825,-752.5100233554535,1557.020046710907,1679.6200147556087,0.11126787479183387,Mixed Outcome
spec_extended_3_spline_interact,825,-742.5905094566649,1553.1810189133298,1713.504054048709,0.12298305518105002,Mixed Outcome
spec_c_pack,825,-762.328888283145,1560.65777656629,1645.5346775203143,0.09967156321659632,Mixed Outcome
spec_im_pack,825,-762.8165717865081,1561.6331435730162,1646.5100445270405,0.09909559747139574,Mixed Outcome
spec_p_pack,825,-761.9403271533309,1559.8806543066619,1644.757555260686,0.10013046309560802,Mixed Outcome
spec_govprot_pack,825,-763.7571609787872,1563.5143219575743,1648.3912229115986,0.09798473940192498,Mixed Outcome
spec_c_reform,825,-762.3247869060201,1560.6495738120402,1645.5264747660644,0.09967640703992808,Mixed Outcome
spec_im_reform,825,-763.452530955776,1562.905061911552,1647.7819628655761,0.09834451465986205,Mixed Outcome
spec_p_reform,825,-761.8336432676666,1559.6672865353332,1644.5441874893575,0.10025645928634208,Mixed Outcome
spec_govprot_reform,825,-764.4754637816523,1564.9509275633045,1649.8278285173287,0.09713640681269686,Mixed Outcome
spec_c_attack,825,-763.4642459777922,1562.9284919555844,1647.8053929096086,0.09833067894194447,Mixed Outcome
spec_im_attack,825,-764.6564074285955,1565.312814857191,1650.1897158112151,0.09692270808856063,Mixed Outcome
spec_p_attack,825,-763.1849217408464,1562.369843481693,1647.2467444357171,0.09866056746836704,Mixed Outcome
spec_govprot_attack,825,-764.8199820070402,1565.6399640140803,1650.5168649681045,0.09672952264488643,Mixed Outcome
